summary,start,end,duration,start_tz,all_day,rrule,exdate,categories,description,location,alarms
Kids School Drop-off,2025-12-16 08:00,,15m,Europe/Madrid,false,FREQ=WEEKLY;BYDAY=MO;TU;WE;TH;FR;COUNT=40,,Family|School,Drive kids to school,Lincoln Elementary School,trigger=-30m;description=Wake up kids||trigger=-15m;description=Breakfast||trigger=-5m;description=Get in car
Soccer Practice - Maria,2025-12-16 17:00,,1h,Europe/Madrid,false,FREQ=WEEKLY;BYDAY=MO;WE;COUNT=16,2025-12-23 17:00|2025-12-25 17:00,Family|Sports,Soccer practice for Maria (age 8),Community Sports Center,trigger=-2h;description=Pack sports bag and water||trigger=-30m;description=Pick up from school||trigger=-5m
Piano Lessons - Carlos,2025-12-17 16:30,,45m,Europe/Madrid,false,FREQ=WEEKLY;BYDAY=TU;COUNT=12,,Family|Music,Piano lessons for Carlos (age 10),Music Academy - Room 3,trigger=-1h;description=Remind Carlos to practice||trigger=-30m;description=Leave home
School Parent Meeting,2025-12-19 18:00,,45m,Europe/Madrid,false,,,Family|School,Parent-teacher conference - discuss grades,School - Main Building,trigger=-1d;description=Review Carlos's report card||trigger=-2h;description=Prepare questions||trigger=-30m
Weekly Grocery Shopping,2025-12-14 10:00,,1h30m,Europe/Madrid,false,FREQ=WEEKLY;BYDAY=SA;COUNT=20,,Family|Errands,Weekly shopping for household,SuperMercado Central,trigger=-1d;description=Make shopping list||trigger=-30m;description=Check pantry and fridge||trigger=-10m
Family Movie Night,2025-12-13 19:30,,2h,Europe/Madrid,false,FREQ=WEEKLY;BYDAY=FR;COUNT=16,,Family|Fun,Weekly family time - kids choose movie,Home - Living Room,trigger=-2h;description=Make popcorn||trigger=-30m;description=Let kids pick movie
Dentist - Maria,2026-01-10 15:00,,30m,Europe/Madrid,false,,,Family|Health,6-month checkup for Maria,Dr. Garcia Dental Clinic,trigger=-1w;description=Confirm appointment||trigger=-1d;description=Remind Maria - no cavities goal!||trigger=-2h;description=Leave school early for appointment
Birthday Party - Friend,2025-12-21 16:00,2025-12-21 19:00,,Europe/Madrid,false,,,Family|Social,Birthday party for Maria's friend Emma,Emma's House - 456 Oak Street,trigger=-2d;description=Buy birthday gift||trigger=-1d;description=Wrap gift||trigger=-3h;description=Help Maria pick outfit||trigger=-30m
Kids Winter Break,2025-12-20,2026-01-07,,Europe/Madrid,true,,,Family|School|Holiday,School winter vacation - kids at home,,"trigger=-1w;description=Plan activities for kids||trigger=-3d;description=Stock up on snacks and activities"
Parent Date Night,2025-12-14 20:00,,3h,Europe/Madrid,false,FREQ=WEEKLY;BYDAY=SA;COUNT=8,2025-12-21 20:00|2025-12-28 20:00,Family|Parents,Dinner out - babysitter arranged,Restaurant TBD,trigger=-1w;description=Book babysitter||trigger=-1d;description=Make restaurant reservation||trigger=-3h;description=Babysitter arrives at 19:30
Pediatrician - Carlos Checkup,2026-01-15 11:00,,30m,Europe/Madrid,false,,,Family|Health,Annual checkup for Carlos,Children's Health Center,trigger=-1w;description=Check if vaccines needed||trigger=-1d;description=Confirm appointment||trigger=-2h||trigger=-15m
Swimming Lessons - Maria,2025-12-15 14:00,,1h,Europe/Madrid,false,FREQ=WEEKLY;BYDAY=SU;COUNT=10,,Family|Sports,Sunday swimming class for Maria,Municipal Pool,trigger=-2h;description=Pack swimsuit and towel||trigger=-1h;description=Have light lunch||trigger=-30m
Family Brunch - Grandparents,2025-12-22 12:00,,2h,Europe/Madrid,false,,,Family|Social,Visit grandparents for Sunday brunch,Grandparents' House,trigger=-1d;description=Call grandma to confirm||trigger=-2h;description=Prepare kids - dress nicely||trigger=-30m;description=Bring dessert
